Название песни,Музыка,Слова,Текст песни
Степью-долиною,Л. Книппер,А. Коваленков,"Степью-долиною,        
Над цветами, травами   
Вьется знамя красное,  
Плещет на ветру.       
Речкой по берегу,      
В роще над купавами    
Едут, скачут конники   
Рано по утру.          

С горки-пригорочка     
На четыре стороны      
Зорко смотрят конников
Ясные глаза.           
Кружатся, каркают      
Над долиной вороны,    
Кроет небо чистое      
Близкая гроза.         

Вот и задумался,       
Вот и затревожился     
Статный да приветливый
Конник молодой:        
«Что вы закаркали,     
Закружились, вороны?   
Небо принахмурилось,   
Как перед бедой».      

Эх-да напрасно ты,     
Парень, закручинился,  
Попусту задумался      
Над своей судьбой!     
Черные вороны          
Кружатся да каркают    
Над чужой головушкой,  
Да не над тобой!..."
Столица счастья,Исаак Дунаевский,В.Винников,"Во всех концах родной земли                      
Немало городов в зелени садов, в кружеве мостов.
Во всех концах земли от тропиков до льдов        
Много славных городов.                           

Но лучше всех Москва на белом свете!             
В московском небе солнце мира светит.            
Дорогой счастья ведёт Кремля звездаМосква, ты - Отчизны нашей свет!                 
Москва - знамя славы и побед!                    
В тебе нашей Родины душа всегда жива!            
Москва - город песен и мечты!                    
Москва, всех столиц чудесней ты!                 
Сильна, хорошо и весела, Москва, Москва!         

Любой из нас готов идти по рощам и горам,        
Тундрам и снегам, джунглям и пескам.             
Любой из нас готов лететь по тучам-облакам,      
Поплыть по рекам и морям,                        
Чтоб только повидать Москву родную,              
Столицу счастья вечно молодую,                   
Где наше сердце и день, и ночь стучит."
Стопудовый урожай,К.И. Масалитинов,М.И. Мордасова,"Через поле яровое,          
Через темненький лесок –    
На целинные земельки        
Ты лети, мой голосок.       

Серебристый ручеёчек,       
Где платочек потонул.       
Полюбила тракториста –      
Он уехал в Барнаул.         

Попрошу тебя, милёнок,      
Не влюбляйся ни в кого,     
Если знаешь, что Маруся     
Тебя любит одного.          

Не скучай, мой ненаглядный,
Неужели не поймешь?         
Скоро встретимся с тобою    
Где густая будет рожь.      

Закипела там работа,        
Загудели трактора,          
Золотистыми хлебами         
Зашумела целина.            

Мне по радио недавно        
Сказал милый: «Приезжай!»   
Убирать к нему поеду        
Стопудовый урожай."
Сторонка,Ю. Левитин,С.  Михалков,"С неразлучным своим автоматом   
Не в одной побывал я стране,    
Но повсюду, скажу вам, ребята,  
Я скучал по родной сторонеСторонка, сторонка родная,      
Ты солдатскому сердцу мила.     
Эх, дорога моя фронтовая,       
Далеко ты меня завела.          

Батальон наш стоял в Бухаресте,
Бухарест – неплохой городок,    
Но признаюсь, ребята, по чести,
Мне дороже родимый Торжок.      

Бил я немцев на улицах Вены,    
В ней сады и дворцы хороши.     
Только Вена, скажу откровенно,  
Хороша не для русской души.     

Дождались мы великой победы,    
И теперь, с окончаньем войны,   
Я уж как-нибудь, братцы, доеду  
До родимой своей стороны."
Студенты,И. Дунаевский,Л. Ошанин,"Друзья и подруги, сердца огневые,        
Живём мы под небом различных широт,      
Но все мы - студенты, и все - молодые,        
И смело глядим мы вперёдВперёд, друзья, за мир и счастье!        
Мы против тех, кто нам грозит огнём!    
Пусть дружба студентов мужает и крепнет  
Повсюду на шаре земном!                 

Протянем друг другу горячие руки        
На верную дружбу сердец молодых,         
На светлое братство труда и науки       
Для счастья народов земныхВсе те, кто имеет в науке призванье,    
Все те, в ком честны и отважны сердца,   
За право святое на труд и на знанье     
Боритесь, друзья, до конца"
Субботний вечерок,С.Туликов,В.Харитонов,"Часы пробили точные.
В цехах веселый шум.
Спецовочку рабочую
Сменил я на костюм.

У каждой работы
Имеется срок.
Суббота, суббота -
Хороший вечерок!

Не тратя ни минуточки,
Встречаю выходной.
На одного три удочки,
А рыбки - ни одной.

Сияние закатное,
Влюбленная пора...
Гуляние бесплатное
До самого утра.

К тебе, моя красавица,
Хожу я с давних пор.
Но все не получается
Серьезный разговор.

У каждой работы
Имеется срок.
Суббота, суббота -
Хороший вечерок!"
Счастливая звезда,Соловьев,,"Счастливая звезда

Музыка: Соловьев Молодежь гурьбой идёт на берег.
Звуки танго слышатся в саду.
Каждый счастлив, потому что верит
Горячо в счастливую звезду.

Та звезда высоко над страною
И над всей землёй вознесена.
Настоящей радостной весною
Стала нашей юности веснаНаша юность не беспечна,
Но отраден сердцу смех.
Наша радость бесконечна,
Наше счастье - счастье всех!

Нашу юность не сковать покоем.
В наши годы только бурям петь.
Мы богаты радостью такою,
Что вовек не может постареть.

Мы тропой надёжной выйдем в люди.
Светят нам счастливые огни.
В эти годы сердце не остудишь,
Юность не погасишь в эти дниВстретит нас уверенная зрелость
Лаской жизни, радостью труда
В Октябре над миром загорелась
Обновлённой Родины звезда

Много лет горит она надёжно
Пробудив заводы и поля
Ту звезду всегда увидит можно
Над высокой башнею Кремля"
Счастливый вечер,Серафим Туликов,Ольга Фадеева,"Рассыпала ночь самоцветы огней
По праздничной шумной Москве.
Лучистые звёзды сияют над ней
В прозрачной ночной синеве.

Немало друзей собралось за столом,
А рядом один – всех милей…
Веселье, улыбки и песни – кругом,
И праздник души моей.

Сверкают ракеты дождём золотым,
И праздник идёт по стране
Кто молод и счастлив, влюблён и любим –
Сегодня счастливей вдвойне!..

Сегодня Москва позабыла про сон
До утренних первых лучей;
И всюду – бокалов ликующий звон
И праздник души моей.

Пускай же любовь расцветает для всех,
Как молодость наша – светла:
И песни с ней звонче, и радостней смех,
И легче любые дела.

С любимым не трудно домчаться до звёзд,
Кто любит – мечтает смелей.
За счастье, друзья, поднимаю я тост,
За праздник души моей."
Сын,В. П. Соловьёв-Седой,Алексей Фатьянов,"Заходите в дом, прошу о том,                                   
С друзьями, добрые соседи!                                     
Праздник-то какой!                                             
У нас с женой сегодня родился наследник.                       

Ставьте угощение послаще!                                      
Праздник для того подходящий.                                  
Хорош мой сын! Немного лет пройдёт,                            
Глядишь, усы отращивать начнёт!                                

Он будет весь в отца!                                          
У молодца характер весь в отца!                                

Мы ему своим трудом большим                                    
Украсим радостное детство!                                     
Степи и поля - его земля,                                      
Его богатое наследство!                                        

Запевайте песни дружнее!                                       
Наливайте чарки полнее!                                        
Расти красив и всем хорош на вид.                              
Солдатский сын отца не посрамит.                               

Он будет весь в отца!                                          
У молодца и взгляд, как у отца!                                

Гости разошлись...                                             
Давно зажглись                                                 
На небе золотые звёзды                                         
Спит честной народ... Лишь у ворот о чём-то шепчутся берёзы...

Петухи и те все уснули,                                        
Кот в клубок свернулся на стуле.                               
Глаза закрой, засни, как спит солдат.                          
Я расскажу тебе про Сталинград.                                

Ты будешь весь в отца.                                         
У молодца и сон, как у отца"
Сын России,С.Туликов,В.Харитонов,"Упал я на границе в первый бой,       
Закрыв ладонью рану на груди.         
Сама земля стонала подо мной,         
И жизнь уже казалась позадиИ только тверже выходила из огня      
Суровая, доверчивая Русь.             
Ну как ты обходилась без меня?        
А я вот без тебя не обойдусь.         

Настойчиво звала меня труба,          
Пылали обожженные края.               
Под гусеницы падали хлеба,            
В ружье вставала Родина моя.          
Березы забинтованные шлиИ если буду вынужден опять            
Шинель надеть  и сквозь огонь шагать,
И если в битве сердце опалю,          
Я снова как и ранше повторю:          
И только тверже выходила из огня      
Суровая, доверчивая Русь.             
Ну как ты обходилась без меня?        
А я вот без тебя не обойдусь."
Сыновья,О.Фельцман,В.Сергеев,"Нам такая судьба, нам суровая доля досталась           
И такая земля, до последней троптнки своя.             
Нам в разлуках нельзя забывать хоть на самую мадость, 
Что в далеких домах ожидают отцов сыновья, сыновья.    

Нас в жестоких боях не сломила не боль, не усталость.  
Даже смерть не страшна, если в этом победа твоя.       
Нам в походах нельзя уставать хоть на самую малость,   
Потому что в поход провожают отцов сыновья,сыновья.    

Но бывало в пути, что победа с бедою встречалась.      
Закалялась в огне твое сердце, Отчизна моя.            
Нам от правды нельзя отступить хоть на самую малость,  
Потому что идут по дороге отцов сыновья,сыновья.       

Много дел на земле нам еще переделать осталось.        
По дорогам побед трудовая шагает семья.                
И нельзя сыновьям отставать хоть на самую малость,     
Потому что у них подрастают свои сыновья, сыновья."
Сыновья Революции,А. Пахмутова,Н. Добронравов,"Снова рядом с мной образ вечно живой        
Революции сын, комиссар молодой.            
Он в последнюю ночь перед казнью не спит,   
Он в грядущие дни, как влюбленный глядит.   

В час, грозою опаленный,                    
Раздумий и сомнений час,                    
Я слышу голос отдаленный:                   
""Я так надеялся на вас!""                  

Город детства во мгле, и деревни в золе,    
И Гастелло летит к побледневшей земле,      
И пока не вонзился он в пламя и дым         
Наш сегодняшний день промелькнет перед ним!

В час, грозою опаленный,                    
Раздумий и сомнений час,                    
Мы слышим голос вневременный:               
""Я так надеялся на вас!""                  

Нас к иным берегам дальний космос влечет,   
Королев неуступчиво смотрит вперед,         
Космонавт завершает последний парад         
И сквозь годы и слезы летит его взгляд!     

В час, грозою опаленный,                    
Раздумий и сомнений час,                    
Мы слышим голос окрыленный:                 
""Друзья, надеемся на вас!""                

Мы надежды борцов не посмеем предать,       
Красоту революции нам удержать.             
Миг последний и честный, и пламенный взор,  
И великой любви вниз смертельный полет!     

В час, грозою опаленный,                    
Раздумий и сомнений час,                    
Великой правдой озаренный,                  
Весь мир надеется на вас!                   

Великой правдой озаренный,                  
Весь мир надеется на вас!"
Таежная,"М.Феркельман, Л.Ходжа-Эйнатов",А. Чуркин,"Едем, едем в даль лесную,                 
Вижу кедра желтый лист.                   
Про тайгу свою родную                     
Поет товарищ машинист.                    
Про тайгу дремучую, родную                
Поет товарищ машинист.                    

Навевает тихий вечер,                     
Веет запахом хвоя...                        
Ты лети ко мне навстречу,                 
Тайга родимая моя!                        
Ты лети, лети ко мне навстречу,           
Тайга родимая моя!                        

Если враг твой, в дыме кроясь,           
Подойдет к тебе, тайга,                   
Я в броню одену поезд,                    
Ударим грудью на врага!                   
Я в броню одену грозный поезд,            
Ударим грудью на врага!                   

Грянем с песней боевою                    
За простор больших дорог...                 
Эх, шуми густой тайгою,                   
Родной советский наш Восток!              
Эх, шуми зеленою тайгою,                  
Родной советский наш Восток!"
Тайга,Ю. Милютин,В. Типот,"Сибирский простор, вековая тайга - 
Лишь волчьи следы да оленьи рога.
Звериные тропы, глухие пути,
Чужому по ним ни за что не пройти.

Тайга, тайга – кругом снега,
Поёт, метёт пурга.
Такая ширь, моя Сибирь,
Ты сердцу дорога.
Тайга, тайга – кругом снега,
Поёт, метёт, метёт пурга.
Такая ширь, моя Сибирь,
Ты сердцу, сердцу дорога.

Повсюду ищи, а не сыщешь вовек
Подобных лесов и просторов и рек. 
Куда ни пойди, обойди хоть весь свет,
А края на свете прекраснее нет.

Тайга, тайга – кругом снега,
Поёт, метёт пурга.
Такая ширь, моя Сибирь,
Ты сердцу дорога.
Тайга, тайга – кругом снега,
Поёт, метёт, метёт пурга.
Такая ширь, моя Сибирь,
Ты сердцу, сердцу, сердцу дорога.
Тайга, тайга, тайга…"
Там вдали за рекой,А. Александров,Н.Кооль,"Там, вдали, за рекой,           
Засверкали огни,                
В небе ясном заря догорала, -   
Сотня юных бойцов               
Из буденновских войск           
На разведку в поля поскакала.   

Они ехали долго в ночной тишине  
По широкой украинской степи,    
Вдруг вдали у реки              
Засверкали штыки:               
Это белогвардейские цепи.       

И без страха отряд              
Поскакал на врага,              
Завязалась кровавая битва,      
И боец молодой                  
Вдруг поник головой,            
Комсомольское сердце пробито.   

Он упал возле ног               
Вороного коня,                  
И закрыл свои карие очи.        
Ты, конек вороной,              
Передай дорогой,                
Что я честно погиб за рабочих.  

Там вдали за рекой              
Уж погасли огни,                
в небе ясном заря загоралась.   
Капли крови густой,             
Из груди молодой                
На зеленую травку сбегали."
"Там, где Волга серебрится",Юрий Чичков,Юрий Полухин,"Там, где Волга серебрится в синеве,       
Гордо высится красавец-Волгоград.         
Про него слагают песни и легенды,         
С ним гудками теплоходы говорят.          

Как закаты безмятежны и красивы,          
Как белеют на окраинах сады...            
И ему навек обязана Россия.               
Заслонил он всю Россию от беды.           

Будут встречи, будут снова расставания...
Город мой, я не таю своей любви.          
Мне всегда милы, как первое свидание,     
Эти стрелки, эти площади твои.            

Там, где Волга серебрится в синеве,       
Гордо высится красавец-Волгоград.         
Про него слагают песни и легенды,         
С ним гудками теплоходы говорят."
Танки быстроходные,М. Блантер,Я. Хелемский,"Танки рокочут моторами,                       
Гул разносится над просторами.               
Всё на пути расступается,                     
Травы клонятся, пыль вздымаетсяМчатся наши танки быстроходные,               
Мчатся танки - сила всенародная!              
Грозная сила ударная, легендарные полки!      
Грозная сила ударная, легендарные полки!      

Действуем чётко и слаженно,                   
Дружбой спаяны в экипаже мы.                  
Служит солдату подвластная                    
Наша техника безотказнаяВспомним победы крылатые,                     
Вражьи крепости, с боем взятые,              
Доблесть отцов незабытую,                     
Вехи трудные, знаменитыеНаша Отчизна-красавица                        
Мирно трудится, всюду славиться,              
Прочной бронёй заслоненная,                   
Неприступною обороною"
Тачанка,К. Листов,М. Рудерман,"Ты лети с дороги, птица,  
Зверь, с дороги уходи!     
Видишь, облако клубится,  
Кони мчатся впереди!       
И с налета, с поворота,    
По цепи врагов густой      
Застрочит из пулемета      
Пулеметчик молодойЭх, тачанка-ростовчанка,  
Наша гордость и краса,     
Конармейская тачанка,      
Все четыре колеса!         

Эх, за Волгой и за Доном  
Мчался степью золотой      
Загорелый, запыленный      
Пулеметчик молодой.        
И неслась неудержимо       
С гривой рыжего коня       
Грива ветра, грива дыма,  
Грива бури и огняЭх, тачанка-киевлянка,     
Наша гордость и краса,     
Комсомольская тачанка,     
Все четыре колеса!         

По земле грохочут танки,  
Самолеты петли вьют,       
О буденновской тачанке     
В небе летчики поют.       
И врагу поныне снится      
Дождь свинцовый и густой  
Боевая колесница,          
Пулеметчик молодойЭх, тачанка-полтавчанка,  
Наша гордость и краса,     
Пулеметная тачанка,        
Все четыре колеса!"
Текстильный городок,Ян Френкель,Михаил Танич,"Подмосковный городок,     
Липы желтые в рядок;      
Подпевает электричке      
Ткацкой фабрики гудок.    
Городок наш – ничего,     
Населенье таково:         
Незамужние ткачихи        
Составляют большинство.   

В общежитии девчат        
Фотографии висят,         
Дремлют ленты на гитарах,
И будильники стучат.      
Но в хороший вечерок      
Заглянул на огонек        
В нашу комнату девичью    
Бывший флотский паренек.  

Вышло так оно само:       
Написал он мне письмо...  
И девчонки к новоселью    
Подарили нам трюмо.       
Мы на фабрику вдвоем      
Утром рядышком идем:      
То ли, может, он со мною,
То ли, может, я при нём.  

Фотокарточки висят,       
И будильники стучат,      
Но одной гитарой меньше   
Стало в комнате девчат…   
Ходят девочки в кино,     
Знают девочки одно:       
Уносить свои гитары       
Им придется все равно."
Тем кто в море,Н. Богословский,Л. Ошанин,"Ветер шумит, звезда за кормой,      
В кубрике спит матрос молодой.      
Матросу снятся девичьи косы.        
Дома невеста ждёт моряка -          
В сердце на миг заглянет тоска,     
Без спроса глянет в сердце матросаШире баян разверни, старшина,       
Сердцу матросскому вторя.           
Песня слышна, и послушна волна,     
И подруга верна тем, кто в море.    

Песня летит, звенит за бортом,      
Так, что смолкают волны кругом -    
Смолкают, что добавить, не знают.   

Вахту нести и дружбу беречь,        
Синее море наше стеречь -           
Такая наша служба морская.          
Мальчик в поход ушёл с кораблём,    
Завтра придёт лихим моряком -       
Такая наша доля мужскаяГаснет звезда вдали за кормой,      
Вахту несёт матрос молодой,         
И светят облака на рассвете."
Темная ночь,Н. Богословский,В.Агатов,"Темная ночь, только пули свистят по степи,                
Только ветер гудит в проводах, тускло звезды мерцают.     
В темную ночь ты, любимая, знаю, не спишь,                
И у детской кроватки тайком ты слезу утираешь.            

Как я люблю глубину твоих ласковых глаз,                  
Как я хочу к ним прижаться сейчас губами!                 
Темная ночь разделяет, любимая, нас,                      
И тревожная, черная степь пролегла между нами.            

Верю в тебя, в дорогую подругу мою,                       
Эта вера от пули меня темной ночью хранила...             
Радостно мне, я спокоен в смертельном бою,                
Знаю встретишь с любовью меня, что б со мной ни случилось.

Смерть не страшна,с ней не раз мы встречались в степи.    
Вот и сейчас надо мною она кружится.                      
Ты меня ждешь и у детской кроватки не спишь,              
И поэтому знаю: со мной ничего не случится!"
Течет река Волга,Марк Фрадкин,Лев Ошанин,"Издалека долго                           
Течёт река Волга,                        
Течёт река Волга,                        
Конца и края нет.                        
Среди хлебов спелых,                     
Среди снегов белых                       
Течёт моя Волга,                         
А мне семнадцать лет.                    

Сказала мать: ""Бывает всё, сынок.       
Быть может, ты устанешь от дорог.        
Когда придёшь домой в конце пути,        
Свои ладони в Волгу опусти""             

Издалека долго                           
Течёт река Волга,                        
Течёт река Волга,                        
Конца и края нет.                        
Среди хлебов спелых,                     
Среди снегов белых                       
Течет моя Волга                          
А мне уж тридцать лет.                   

Твой первый взгляд и первый плеск весла.
Все было, только речка унесла.           
Я не грущу о той весне былой,            
Взамен её - твоя любовь со мной.         

Издалека долго                           
Течёт река Волга,                        
Течёт река Волга,                        
Конца и края нет.                        
Среди хлебов спелых,                     
Среди снегов белых                       
Гляжу в тебя, Волга                      
Седьмой десяток лет.                     

Здесь мой причал, и здесь мои друзья -   
Все без чего на свете жить нельзя.       
С далеких плёсов в звёздной тишине       
Другой мальчишка подпевает мне:          

Издалека долго                           
Течет река Волга,                        
Течёт река Волга,                        
Конца и края нет.                        
Среди хлебов спелых,                     
Среди снегов белых                       
Течёт моя Волга,                         
А мне семнадцать лет..."
Только на фронте,А.Лепин,В.Лебедев-Кумач,"Кто сказал, что надо бросить песни на войне?
После боя сердце просит музыки вдвойне.
Нынче у нас передышка - завтра вернёмся к боям.
Что же твой голос не слышно, друг наш походный, баян?
После боя сердце просит музыки вдвойне...

Кто сказал, что сердце губит свой огонь в бою?
Воин всех сильнее любит милую свою.
Только на фронте проверишь лучшие чувства свои,
Только на фронте измеришь силу и крепость любви!
Воин всех сильнее любит милую свою...

Кто придумал, что грубеют на войне сердца?
Только здесь хранить умеют дружбу до конца.
В битвах за друга всю душу смело положат друзья,
Ни расколость, ни нарушить дружбы военной нельзя!
Только здесь хранить умеют дружбу до конца..."
Торжественная песня,Муслим Магомаев,Роберт Рождественский,"Ты пришла, - настала в мире будто весна.  
Шар земной запомнил имя твоё.             
Всё имеет срок, а ты бессмертна, страна,  
Жизнь моя, дыханье моёЯ смогу держать в ладонях солнце,         
Я пройду сквозь годы-времена.             
Всё смогу, я всё на свете смогу,          
Если ты со мною, страна!                  

Можно жить без песен, жить от дома вдали,
Жить без сна, шагать в степи без огня.    
Но нельзя дышать без этой вечной земли,   
Родины, вскормившей меня"
Тост за любимых,Анатолий Лепин,Ольга Фадеева,"Когда мы какой-нибудь праздник встречаем
Не дома, а в дальнем пути,
Сильней в этот вечер о близких скучаем,
О тех, с кем расстались, грустим.

Случайный попутчик предложит
Для праздника чокнуться с ним,
Стакан наполняя из фляжки дорожной,
Мы тихо тогда говоримЗа наших далёких любимых,
За светлые праздники встреч!
За тех, чья любовь нерушима,
Кто верность нам будет беречь!

Геолог в разведке, Моряк в океане,
Зимовщик - в полярном снегу,
В палатке, в каюте, в столе, в чемодане
Портреты подруг берегут.

Друзья, от души вам желаю
Любовь свою крепко хранить!
И я эту песню, как тост, поднимаю
За тех, кто умеет любить"
Трансильвания,С. Кац,А. Софронов,"Трансильванские виноградники,
Лозы тёмные до земли...
Эх, поехали, да, наши всадники
До родной земли, эх, пошлиДо свидания, эх, Трансильвания!
Ты отвоёванный нами край!
До свидания, эх, Трансильвания!
До свиданья и прощай!
Эх, Трансильвания, прощай!

Провожала нас в путь красавица,
Косы черные, как смола...
Нам красавица та всем понравилась,
Одного из нас обожглаЗагрустил казак, призадумался,
Заиграла в нём жарко кровь.
А к красавице той .............
В сердце вспыхнула вдруг любовьМы с товарищем и не спорили,
Ей сказал казак: ""Не забудь"".
И коней своих, да, мы пришпорили 
И помчалися в дальний путь"
Три разведчика,Дм.Покрасс,А.Сурков,"Не трава под ветром клонится,    
Не гудит над сёлами звон.        
Вышла красная, вышла конница     
От Касторной на тихий Дон.       

По пути дымят пожарища,          
В серый берег плещет вода        
Трём разведчикам, трём товарищам  
Повстречалась в пути беда.       

На донских крутых излучинах,     
Где камыш поднялся стеной,       
Трёх порубанных, трёх замученных  
Подобрал эскадрон родной.        

Слёзы братские уронены           
На горячий жёлтый песок.         
Три разведчика похоронены        
За селом, где шумит лесок.       

Под копыта травы клонятся,       
Мы врагу отплатим урон!          
Мчится красная, мчится конница   
От Касторной на тихий Дон!"
Три танкиста,бр. Покрасс,Б.Ласкин,"На границе тучи ходят хмуро,         
Край суровый тишиной объят.          
У высоких берегов Амура              
Часовые родины стоят.                

Там врагу заслон поставлен прочный,  
Там стоит, отважен и силен,          
У границ земли дальневосточной       
Броневой ударный батальон.           

Там живут — и песня в том порука –   
Нерушимой, крепкою семьей            
Три танкиста, три веселых друга —    
Экипаж машины боевой.                

На траву легла роса густая,          
Полегли туманы широки.               
В эту ночь решили самураи            
Перейти границу у реки.              

Но разведка доложила точно, —        
И пошел командою взметен,            
По родной земле дальневосточной      
Броневой ударный батальон.           

Мчались танки, ветер подымая,        
Наступала грозная броня.             
И летели наземь самураи              
Под напором стали и огня.            

И добили — песня в том порука        
Всех врагов в атаке огневой          
Три танкиста, три веселых друга      
Экипаж машины боевой."
Тучи над городом встали,Музыка и слова П. Арманда,,"Тучи над городом встали

Музыка: Музыка и слова П. Арманда Тучи над городом встали,         
В воздухе пахнет грозой.         
За далекой за Нарвской заставой   
Парень идет молодойДалека ты, путь-дорога...        
Выйди, милая моя!                
Мы простимся с тобой у порога,   
И, быть может, навсегда...       

Черные силы мятутся,             
Ветер нам дует в лицо.           
За счастье народное бьются       
Отряды рабочих бойцовДалека ты, путь-дорога...        
Выйди, милая, встречай!          
Мы простимся с тобой у порога,   
Ты мне счастья пожелай.          

Жаркою страстью пылаю,           
Сердцу тревожно в груди.         
Кто ты? Тебя я не знаю,          
Но наша любовь впереди.          

Приходи же, друг мой милый!      
Поцелуй меня в уста,             
И клянусь, я тебя до могилы      
Не забуду никогда"
Тучи стелются высоко,обр. А. В. Александрова,лит. обр. С. Алымова,"Тучи стелются высоко ...........
Эй, бойцы Дальневостока при ....
Гей, пусть говорят! 
Эй, бойцы Дальневостока при .... 

Мы всегда по-большевицки впереди, 
Чтобы враг не мог к нам близко да подойти! 
Гей, пусть говорят! 
Чтобы враг не мог к нам близко да подойти! 

Вдоль раздвинувшись широко по степи, 
Армия Дальневостока да на пути! 
Гей, пусть говорят! 
Армия Дальневостока да на пути!"
"Ты гармонь, тихонько заиграй",Г. Жуковский,А. Малышко,"Ты гармонь тихонько заиграй              
Вспомни нашу юность, годы молодые        
Вдаль умчались вёсны золотые             
Как на крыльях журавлиных стайЧто минуло, то прошло и нам того не жаль
Эх наша дружба, дружба фронтовая         
Нам сердца в дороге согревает            
А дорога нас уводит в даль               
А путь-дорога нас уводит в даль          

Никогда, дружок, не забывай              
Как родная мать на битву снаряжала       
Как в поход далёкий провожала            
В дальний путь на Эльбу, на Дунай"
"Ты иди, не сверни и не падай",Евгений Птичкин,Евгений Карелов,"Ты иди, не сверни и не падай!  
Упадешь- поднимись!            
И будет тебе наградой          
Цели заветной высь!            

Я плыву к неизведанным далям   
Вьюга, шторм не страшат меня   
На коне я в бою отчаянном      
И на полюсе тоже я!            

В голубой океан улетаю         
Под землею я уголь рублю,      
По дорогам опасным шагаю,      
Жизнь отдам я за то,что люблю!

Ты иди, не сверни и не падай!  
Упадешь- поднимись!            
И будет тебе наградой          
Цели заветной высь!            

В голубой океан улетаю         
Под землею я уголь рублю,      
По дорогам опасным шагаю,      
Жизнь отдам я за то,что люблю!"
